;Common_name;Scientific_name;Former_genus;Biome;Food;Foraging_site;Nest_type;Nest_site;Nest_parasitation;Notes;superficy;upperalt;loweralt;movement
455;Cape Canary;Serinus canicollis;NA;Savanna - Dry & Shrubland - Subtropical/Tropical Dry;;;;;;;1570000;3000;2000;Resident
456;European Serin;Serinus serinus;NA;Forest - Temperate & Artificial/Terrestrial - Urban Areas & Shrubland - Mediterranean-type Shrubby Vegetation;;;;;;;7090000;NA;NA;Migratory
457;Myrtle Warbler;Setophaga coronata; (Dendroica);Forest - Temperate & Forest - Boreal;Insectivorous;Tree, shrub and ground;Open;Ground and tree;Yes;Brood parasite: Brown-headed Cowbird;NA;NA;NA;NA
458;American Yellow Warbler;Setophaga petechia;NA;Forest - Temperate & Shrubland - Subtropical/Tropical Dry;;;;;;;15700000;3000;NA;Migratory
459;American Redstart;Setophaga ruticilla;NA;Forest - Temperate;;;;;;;14600000;NA;NA;Migratory
460;Blackpoll Warbler;Setophaga striata;NA;Forest - Boreal;Omnivorous;Tree;Open;Ground and tree;Very rarely;Brood parasite: Brown-headed Cowbird, very rarely;4870000;3000;600;Migratory
461;Sharpe's Akalat;Sheppardia sharpei;NA;Forest - Subtropical/Tropical Moist Montane;;;;;;;194000;NA;NA;Resident
462;White-breasted Nuthatch;Sitta carolinensis;NA;Forest - Temperate & Forest - Subtropical/Tropical Moist Montane;;;;;;;14900000;3600;1250;Resident
463;Eurasian Nuthatch;Sitta europaea;NA;Forest - Temperate & Forest - Boreal;Insectivorous;Tree and ground;Cavity;Tree;NA ;;51400000;2400;300;Resident
464;African Broadbill;Smithornis capensis;NA;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry & Shrubland - Subtropical/Tropical Moist;;;;;;;13600000;2550;NA;Resident
465;Blue-winged Teal;Spatula discors;Anas;Grassland - Temperate & Grassland - Subtropical/Tropical Seasonally Wet/Flooded & Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;;;;;;;NA;NA;NA;NA
466;Bronze Mannikin;Spermestes cucullata;Lonchura cucullata;Forest - Subtropical/Tropical Dry & Forest - Subtropical/Tropical Moist Lowland & Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;;;;;;;NA;NA;NA;NA
467;Black-chinned Siskin;Spinus barbatus;Carduelis barbata;Forest - Temperate & Shrubland - Temperate & Grassland - Temperate;;;;;;;NA;NA;NA;NA
468;Pine Siskin ;Spinus pinus;Carduelis pinus;Forest - Temperate & Forest - Boreal;;;;;;;NA;NA;NA;NA
469;Chipping Sparrow;Spizella passerina;NA;Forest - Temperate & Forest - Boreal;;;;;;;9880000;3800;NA;Migratory
470;American tree sparrow;Spizelloides arborea;Spizella arborea;NA;;;;;;;NA;NA;NA;NA
471;Rufous Flycatcher-thrush;Stizorhina fraseri;Neocossyphus fraseri;Forest - Subtropical/Tropical Moist Lowland;;;;;;;NA;NA;NA;NA
