Species
Sylvia hortensis
Dendroica dominica
Dendroica nigrescens
Dendroica fusca
Vermivora pinus
Tachyphonus luctuosus
Tachuris rubrigastra
Tangara cayana
Tangara icterocephala
Tangara nigroviridis
Hemispingus superciliaris
Tangara vassorii
Eriocnemis vestita
Tangara schrankii
Tangara chilensis
Tangara gyrola
Tachycineta thalassina
Tauraco persa
Terenotriccus erythrurus
Terpsiphone rufiventer
Thamnophilus murinus
Myrmeciza goeldii
Thalurania fannyi
Thalurania furcata
Rhegmatorhina gymnops
Rhegmatorhina hoffmannsi
Xiphorhynchus elegans
Hypocnemis hypoxantha
Sakesphorus cristatus
Tiaris bicolor
Tockus flavirostris
Pachyramphus validus
Toxostoma rufum
Tregellasia capito
Anabazenops fuscus
Conirostrum tamarugense
Phaethornis superciliosus
Phaethornis baroni
Coeligena torquata
Ara chloropterus
Eriocnemis cupreoventris
Eriocnemis derbyi
Amazilia alticola
Boissonneaua matthewsii
Colibri thalassinus
Heliangelus viola
Lafresnaya lafresnayi
Phaethornis griseogularis
Amblycercus holosericeus
Campylorhynchus fasciatus
Cinnycerthia unirufa
Cranioleuca antisiensis
Elaenia pallatangae
Hellmayrea gularis
Icterus mesomelas
Lepidocolaptes lacrymiger
Myadestes ralloides
Myioborus miniatus
Myiothlypis coronata
Myiothlypis nigrocristata
Ochthoeca rufipectoralis
Pipreola riefferii
Synallaxis azarae
Thraupis cyanocephala
Tiaris obscura
Turdus nigriceps
Turdus serranus
Garrulax erythrocephalus
Garrulax variegatus
Garrulax lineatus
Trogon personatus
Turdus albicollis
Turdus cardis
Turdus chrysolaus
Turdus iliacus
Pachyramphus viridis
Icterus galbula
Turdus obscurus
Turdus olivater
Cyanoramphus auriceps
Turdus torquatus
Bolborhynchus lineola
Turdus rubrocanus
Turdoides gularis
Turdus naumanni
Turdoides striata
Turtur tympanistria
Aythya fuligula
Upupa epops
Prinia hodgsonii
Vireo altiloquus
Vireo gilvus
Cyclarhis gujanensis
Celeus flavescens
Dryocopus lineatus
Hylophilus amaurocephalus
Xiphorhynchus spixii
Piaya cayana
Poecilotriccus fumifrons
Xanthotis flaviventer
Xanthotis macleayanus
Xenops minutus
Xiphorhynchus obsoletus
Xiphorhynchus pardalotus
Zosterops minutus
Zosterops poliogastrus
Zosterops brunneus
Motacilla cinerea
Zenaida auriculata
Zenaida meloda
Zenaida aurita
Aquila chrysaetos
Geococcyx californianus
Metriopelia ceciliae
Zosterops abyssinicus
Zosterops olivaceus
Zosterops mauritianus
Zosterops montanus
Zoothera lunulata
Macropygia mackinlayi
Todiramphus chloris
Ptilinopus greyii
Zosterops fuscicapilla
Zosterops lugubris
Zosterops feae
